S. No,Original_Text,Model_summary,GPT2
115,"Delhi Police special cell on Saturday arrested a woman in connection with an arms trafficking racket and recovered 14 semi-automatic sophisticated pistols of 7.65mm with 14 magazines from her possession.Mobai (45), police said, is a proclaimed offender with many cases of arms act registered against her. The recovered weapons are engraved with ?Made in England? and ?Made in USA? markings.A mother of five children, she earlier worked as a labourer in the fields but her income was not sufficient to meet her basic needs. Being unable to make her ends meet, she came in contact with arms traffickers in MP and started supplying illegal arms. ?It had come to notice that arms manufacturers and suppliers from MP are supplying sophisticated firearms in Delhi-NCR and adjoining areas of UP. A team was deputed to identify the gang in Delhi. The team deployed informers in and around Delhi-NCR, MP and UP to gather leads about the gang and the racket,? DCP special cell, PS Kushwah said.Police recovered 14 semi-automatic sophisticated pistols of 7.65mm with 14 magazines from Mobai?s possession.?Last Wednesday, we received an information that one woman supplier of illegal arms, who is also a proclaimed offender, would come near Shastri Park, between 6pm and 7pm to deliver a huge cache of semi-automatic weapons and meet her contacts,? Kushwah said. A trap was laid and the woman was spotted. ?She was carrying a black and a red bag on her right shoulder. She started waiting there for someone. After some time when no one turned up and as she was about to leave, she was apprehended with the help of woman staff,? Kushwah said.Mobai told police that she collected the weapons from a manufacturer in Gandhwani, MP, and supplied them to contacts in Delhi and Western UP. During interrogation, she said she had supplied weapons in Delhi-NCR and UP West to different persons on many occasions in the last 15 years, police said.?She was found involved in cases of arms supply. Her other involvements are being verified,? Kushwah said.","The Delhi Police on Saturday arrested a 45-year-old woman for supplying illegal weapons and recovered fourteen semi-automatic sophisticated pistols with magazines from her possession. A mother of five children, the accused had started supplying illegal arms after she was unable to meet her basic needs as a farm labourer. She was arrested based on a tip-off before an arms delivery.",
116,"Serena Williams, one of the highest paid and most successful athletes in the world, has issued a stirring call for black women to demand equal pay and spoken about the racism she has faced ?on and off the tennis court?.In a personal essay published by Fortune to coincide with Black Women?s Equal Pay Day, the tennis superstar said the gender pay gap ?hits women of colour the hardest?, as they suffer from both gender and racial financial disparity. For every dollar earned by men in the US, Williams said, black women earn 63 cents, and 17% less than white women.Her comments come as pay gaps are examined in a range of industries after the BBC was engulfed in scandal when it published a list of its top earners in July.Williams, a 23-times grand slam winner, wrote that black women have to work eight months longer to earn the same ?as their male counterparts do in one year?, and drew on her own experiences to highlight the unfair treatment of black women in the workplace. ?I?ve been disrespected by my male colleagues and ? in the most painful times ? I?ve been the subject of racist remarks on and off the tennis court,? she wrote.Williams has repeatedly been the target of sexist and racist remarks by men in tennis. In 2016 the chief executive of the Indian Wells tennis tournament, Raymond Moore, said women?s tennis was riding on the coat-tails of the men?s tour and that female players should ?thank god? for Roger Federer and Rafael Nadal. In April the Romanian team captain, Ilie Nastase, made an apparently racist comment about Williams?s unborn baby and was heard calling her and Johanna Konta ?fucking bitches?. Most recently, former champion John McEnroe said Williams would ?be, like, 700 in the world? if she played on the men?s tour. ?Luckily I am blessed with an inner drive and a support system of family and friends that encourage me to move forward. But these injustices still hurt,? Williams wrote.July 31 is Black Women's Equal Pay Day. Black women are the cornerstone of our communities, they are phenomenal, and they deserve equal pay. pic.twitter.com/XOHyIdbYPcNoting that she is ?in the rare position to be financially successful beyond my imagination?, Williams said that, if she had not been lucky enough to pick up a tennis racquet and break through, she would be like the other 24 million black women facing wage disparities in the US.?The cycles of poverty, discrimination and sexism are much, much harder to break than the record for Grand Slam titles,? she wrote. ?For every black woman that rises through the ranks to a position of power, there are too many others who are still struggling.?She said that changing the status quo would take courage to push the issue into the spotlight and force employers to compensate female employees equally: ?We deserve equal pay for our mothers, our wives, our daughters, our nieces, friends, and colleagues ? but mostly for ourselves.?Black women: be fearless. Speak out for equal pay. Every time you do, you?re making it a little easier for a woman behind you. Let?s get back those 37 cents.?Black Women?s Equal Pay Day, on 31 July, marked how long into 2017 an African American woman would have to work to be paid the same wages as her white male counterpart last year. ?Despite the large gender disadvantage faced by all women, black women were near parity with white women in 1979,? the Economic Policy Institute said. ?However in 2016, white women?s wages grew to 76% of white men?s, compared to 67% for black women relative to white men ? a racial difference of nine percentage points. The trend is going the wrong way ? progress is slowing for black women.?In the UK, research by the Fawcett Society in March revealed a similar story, that many minority ethnic women were ?left behind? by progress on the pay gap. Black African women in the UK have seen virtually no progress since the 1990s in closing the gender pay gap with white British men, with a full-time pay gap of 21.4% in the 1990s and 19.6% today. ?Black African women have been largely left behind, and in terms of closing the pay gap, Pakistani and Bangladeshi women are today only where white British women were in the 1990s,? Sam Smethers, the charity?s chief executive, said.The low number of staff from ethnic minorities on the BBC?s list of its best-paid talent has also provoked an angry response inside the corporation, after no black or ethnic minority staff featured among those earning the top 24 salaries. Williams has been a consistent advocate of equal pay. Earlier this month, when asked about what she would want for her child, she said: ?If my daughter were to play in a sport and she was able to have equal prize money, or equal pay, or equal rights, I feel like that would be a success. And if not, I would really want her to speak up for it. Any daughter of mine will have a voice.?She also praised Andy Murray after he corrected a journalist who said Sam Querrey was ?the first US player to reach a major semi-final since 2009?. Williams has joined the board of Silicon Valley firm SurveyMonkey to help tech companies diversify their workforces.","Tennis star Serena Williams wrote a personal essay in which she demanded equal pay for black women. In the essay, Williams said that for every dollar earned by men in the United States, black women earn just 63 cents. ""The cycles of poverty, discrimination and sexism are much, much harder to break than the Grand Slam titles record,"" Williams wrote.",
117,"New Delhi, Aug 1 (PTI) Diversified conglomerate ITC today said Ashok Malik, who has been appointed the press secretary of the President of India, has resigned from its board of directors. ""Ashok Malik resigned from the board of directors of the company with effect from close of work on July 31, 2017, consequent on his appointment as press secretary to the President of India,"" the company said. ","FMCG major ITC on Tuesday announced that Ashok Malik, who has been appointed the Press Secretary of the newly elected President Ram Nath Kovind, has resigned from its Board of Directors. Malik had joined the ITC board as an additional non-executive director, from April 11 as the representative of the Specified Undertaking of Unit Trust of India.",
118,"Playwright, director and actor Sam Shepard has died at the age of 73.The Pulitzer prize winner died of complications from ALS (amyotrophic lateral sclerosis, also known as motor neurone disease) at his home in Kentucky on 30 July surrounded by family. Shepard had written 44 plays including Buried Child, which won him the Pulitzer prize for drama in 1979. He also received an Oscar nomination for best supporting actor for his role in The Right Stuff.Shepard started writing plays in the 60s. ?Back then, there was a dearth of American theatre,? he told the Observer in 2014. ?There was nothing going on. American art was starving.?His work included Angel City, Cowboy Mouth (in collaboration with Patti Smith that was written in just two nights) and a screenplay for Wim Wenders? Paris, Texas. He received Tony nominations for both Buried Child and a 2000 revival of True West.Shepard also directed many of his plays but with rare exceptions, he refrained from directing work of others. He directed two films: 1988?s Far North with then-partner Jessica Lange and 1993?s Silent Tongue, which starred Richard Harris and River Phoenix.He also collaborated with Bob Dylan for the song Brownsville Girl which featured on his 1986 album Knocked Out Loaded. As an actor, his first notable role was in Terrence Malick?s Days of Heaven in 1978. He went on to star in Baby Boom, Steel Magnolias, The Pelican Brief, Black Hawk Down, The Notebook and August: Osage County. He was most recently seen in the Netflix drama Bloodline, alongside Sissy Spacek.He was known as an acclaimed character actor rather than an A-lister, a route he chose early in his career. ?I had all kinds of wild offers at that time to be a movie star and I panicked,? he later said. ?I was turning down things like Warren Beatty?s Reds, that part of Eugene O?Neill [played by Jack Nicholson]. My agent was going crazy. I hadn?t realized what the experience of it would be like ? to be on the verge of being a movie star. Because it?s like you are the hottest whore in town. Everybody wants you.?When asked about his performances on stage, he said he wasn?t quite as comfortable as on screen. ?You don?t have to do anything in the movies,? he said in an interview with the New York Times. ?You just sit there. Well, that?s not entirely true. You do less. I find the whole situation of confronting an audience terrifying.?Before his death, he completed a role in the psychological thriller Never Here with Mireille Enos. This year also saw the release of his book The One Inside, a series of conversations with himself. He is survived by three children.Figures from both stage and screen have paid tribute to Shepard on Twitter. Writer Beau Willimon referred to him as ?fearless? and ?one of the greats?, Harlan Coben tweeted: ?How special was he? Even when you didn?t like something he?d done, you were glad you saw it? and Reese Witherspoon called him ?a truly original actor and an incredible writer?.","Playwright-actor Sam Shepard, who won the Pulitzer Prize in 1979 for his play 'Buried Child', passed away at the age of 73. He died of complications from Amyotrophic Lateral Sclerosis (ALS), a disease that affects nerve cells in the brain and spinal cord. Shepard also received an Oscar nomination for best supporting actor for his role in 'The Right Stuff'. ",
119,"Leading digital payments firm Paytm plans to launch a messaging service to rival Facebook Inc?s WhatsApp by the end of August, a source familiar with the matter said on Tuesday.SoftBank and Alibaba-backed Paytm is seeking to attract people in India to use the new messaging service embedded in its app, which many already use to buy everything from food to plane tickets.Paytm?s messaging service will allow users to send audio, video and pictures and texts, the source, who declined to be named, said.Paytm currently has more than 225 million users.Earlier this year, another home grown messaging platform Hike rolled out an in-app electronic payments service to cash in on rising digital transactions in India.E-payments in India surged after the country banned old high-value currency notes late last year. Firms like Paytm have since rapidly increased their market share. Digital payments in India would jump nearly 10 times to $500 billion by 2020, according to a 2016 report by Boston Consulting Group.WhatsApp itself has been looking at moving into digital payment services in India.The Wall Street Journal on Tuesday was first to report Paytm?s plan to launch a messaging service. Paytm did not respond to an email seeking comment while WhatsApp was not immediately reachable for comment.","Digital payments startup Paytm is planning to launch its own messaging service by the end of August, according to reports. The chat platform, which will allow users to send videos, audios, pictures, and texts, will reportedly be embedded in Paytm's current app. The new service by SoftBank and Alibaba-backed Paytm is expected to rival WhatsApp. ",
120,"A united opposition stalled proceedings in the Rajya Sabha on Tuesday, protesting the government?s decision to hike the prices of domestic cooking gas (LPG) by Rs 4 per cylinder every month to eliminate all subsidies by next March.Congress, Samajwadi Party, Trinamool Congress, Bahujan Samaj Party and Left MPs stormed into the Well of the House shouting slogans seeking withdrawal of the decision. The issue was raised by TMC?s Derek O?Brien who gave a notice under rule 267 that seeks to set aside business of the day to discuss an important issue.The LPG subsidy issue was raised in the Lok Sabha as well. Outside the Parliament, Dharmendra Pradhan said, ?Subsidy will not be cut down, it will only be rationalised. The (Opposition) uproar is baseless.?The Opposition in Rajya Sabha also protested and questioned the NOTA provision for the upcoming election to the house. Deputy leader of the Congress Anand Sharma said the decision to provide the NOTA option had been made without amending the Constitution or the law as per the direction of the Election CommissionHighlights of Day 12 of the Parliament?s Monsoon Session:7.18 pm: Expansion of GST will help benefit states: Jaitley.6:46 pm: Demonetisation has led to squeezing of terror funds, including in Jammu and Kashmir, says finance minister Arun Jaitley in Lok Sabha.3:15 pm: Rajya Sabha moves to consider and vote on Right of Children to Free and Complaint Education (Amendment) Bill, 2017.3:10 pm:  TMC?s Sudip Bandhopadhyay speaks about impact of demonetisation and GST. He says that a GST-oriented supplementary demand for grant may be necessary. 2:49 pm: The discussion partially goes back to Demands for Supplementary Grants.2:45 pm: Meanwhile, the Rajya Sabha is discussing the violation of conditions of Letter of Permit by foreign trawlers in deep sea fishing through a Calling Attention motion.2:40pm: It has turned into a discussion on demonetisation. BJP?s Nishikant Dubey responds. He quotes the World Bank chief as saying demonetisation will clean up Indian economy and cites OECD report saying the move will have short-term cost, but will be good for the economy in the long-run.2:35 pm: Venugopal says demonetisation and hasty implementation of GST has destroyed the economy. He concludes by quoting Lincoln, ?You can fool all the people some of the time, you can fool some people all the time, but you can?t fool all the people all the time.?2:32pm: Venugopal says everyone agrees GST is good but criticises the implementation of the regime saying there are still multiple taxes.2:30 pm:  Venugopal talks about deteriorating situation in Kashmir and job loss in 2017.?We discussed the lynchings yesterday. Everyone in the Opposition agrees it is terrible. Only the BJP ministers are justifying it,? he says.2:20 pm: Lok Sabha reconvenes. House begins discussion on Supplementary Demands for Grants.Congress MP KC Venugopal asks what the real impact of demonetisation has been. ?We, the members of the Lok Sabha, have the right to know the exact figures? how much demonetised currency has come back, how many new notes have been printed and how much black money has been unearthed. We are expecting answers from the finance minister today.2:05 pm: Government moves to withdraw The Participation of Workers in Management Bill, 1990. Motion is passed.2:02pm:  Rajya Sabha reconvenes. Jairam Ramesh raises issue of new rules regarding Finance Act notified by the government in June but not tabled in the Upper House yet.1:15 pm: Lok Sabha adjourned for lunch till 2:15 pm.1:05 pm: Amid ruckus, MPs continue to present their notices. BJP?s Anju Bala says making cow the national animal like Nepal has will reduce violence against the animal.1:00 pm: Zero Hour continues even as TMC MPs continue to protest in raised voices. Chair asks names of the companies mentioned by Somaiya to be expunged.12:57 pm: BJP?s Kirit Somaiya says one of the shareholder companies allegedly involved in a scam reportedly has the West Bengal chief minister?s as reigstered address.TMC MPs shout and raise objection.12:52pm: Kirron Kher says stalking should be considered crime against women. Invasive stalking should be criminalised, she says12:49 pm:?TMC?s Saugata Roy refers to resignations by Congress MLAs in Gujarat and BJP?s alliance with JD(U)?s Bihar. ?There are allegations the government is using its money power,? he says.12:41 pm:  Outside the Parliament, Dharmendra Pradhan says, ?Subsidy will not be cut down, it will only be rationalised. The (Opposition) uproar is baseless.?12:35 pm:  In the Lok Sabha, BJP?s Varun Gandhi asks whether MPs need higher salaries when the Cabinet and state lawmakers take salary cuts to support farmers. Tamil Nadu farmers have been holding protests in Delhi over farmer suicides.Gandhi wants MP salary examined in 15th Finance Commission.12:29 pm: Rajya Sabha reconvenes. Opposition raises of NOTA issue.Chair asks, ?How does this relate to the Question Hour???This is the ultimate question!? one MP replies.As Opposition MPs raise their voices and demand answers, Chair adjourns house till 2 pm.12:24 pm: Earlier in the day, during the BJP parliamentary party meeting, Amit Shah pulled up MPs over their absence in the Rajya Sabha on Monday, PTI reported.?When the party issues a whip, members must be present in the House. The party president has taken a serious view of the absence of members. He said it should not have happened and must not be repeated,? Parliamentary Affairs Minister Ananth Kumar saidA BJP MP present in the meeting said Shah wondered if the absentee MPs should be named as the party, including Prime Minister Narendra Modi, has repeatedly stressed on the need for their presence in Parliament.12:20 pm:  Opposition MPs shout slogans. Many walk out.12:16 pm:  In the Lok Sabha, KC Venugopal of Congress raises issue of LPG subsidy and rising oil prices. RSP?s NK Premachandaran says, ?The oil companies were told about this in March. Prices increased in July. Why is the government hiding its policies??Opposition demands response from minister.12:13 pm: Derek O?Brien intervenes and says , ?Opposition united on issue of LPG subsidy.?Chair tries to resume Question Hour but is interrupted. Ruckus in the house. Rajya Sabha adjourned for another 10 minutes.12:10 pm:  Sharma asks, ?How can the EC remove the NOTA option without coming to this House and amending laws? This will be examined but now is not the Time.??Only the courts can direct the EC,? Leader of the House, Arun Jaitley says.Opposition raises concerns about the Presidential and Vice-Presidential elections. 12: 05pm:  Rajya Sabha resumes business. Vice President Hamid Ansari in the Chair.Congress? Anand Sharma says there was no NOTA option in the Rajya Sabha election. Chair asks him to take it up with Election Commission. 12:02 pm: Rijiju refutes allegation that refugee camp in Jammu and Kashmir. ?You misunderstand. We are not making concentration camps. They are coming there and getting concentrated there,? he says.Speaker disallows all adjournment notices.11:58am: In the Lok Sabha, Congress? Mallikarjun Kharge questions the government?s response that no accurate date is available about number of illegal immigrants in the country.Impossible to get accurate number, but we are taking steps to have special task forces and prosecute such immigrants, replies MoS Kiren Rijiju.11:47 am: Rajya Sabha adjourned for a second time till noon.11:45 am: Speaker exhorts members to listen to Petroleum Minister Dharmendra Pradhan?s response. Opposition MPs walk to well of the house shouting slogans.11:40 am: Rajya Sabha resumes. Ghulam Nabi Azad on government?s rollback of LPG subsidy: This government is killing the poor. This is unacceptable.11:30 am:  TMC?s Derek O?Brien questions government notification on gas subsidies that says rates are going to be hiked month on month by Rs 4 and by March all LPG subsidies will be eliminated. O?Brien says the government is not keeping its promises.Uproar in Rajya Sabha over house not being informed about government notification.Chair adjourns house for 10 minutes.11:15 am: Zero Hour in the Rajya Sabha. Leader of Opposition Ghulam Nabi Azad raises issue of members of the house not being invited to the Parliament Annexe foundation stone laying ceremony on Monday. No one from the Rajya Sabha including the Chairman and Deputy Chairman were invited. Members of the house were not told about the event.Chair PJ Kurien takes note and says Secretary General of the Rajya Sabha has already written to the Lok Sabha regarding this impropriety.11:05 am: Question Hour begins in Lok Sabha. AIADMK?s Elumalai Vellaigounder asks the government if more Centres will be set up to expedite creation of Aadhaar cards?.11:00 am: Legislative business in the two Houses of Parliament todayIn the Lok SabhaDiscussion and voting on Supplementary Demands for Grants for 2017-18 & Demands for Excess Grants (General) for 2014-15Bills for consideration and passing:The Banking Regulation (Amendment) Bill, 2017The Central Goods and Services Tax (Extension to Jammu and Kashmir) Bill, 2017The Integrated Goods and Services Tax (Extension to Jammu and Kashmir) Bill, 2017 In the Rajya SabhaCalling attention on the situation arising out of violation of conditions of Letter of Permit by foreign trawlers in deep sea fishing in Indian seas and the action taken by the Government on it. Bill for withdrawal:The Participation of Workers in Management Bill, 1990Bills for consideration and passing:The Right of Children to Free and Compulsory Education (Amendment) Bill,2017The Factories (Amendment) Bill, 2016The Companies (Amendment) Bill, 2017","Finance Minister Arun Jaitley on Tuesday said in Lok Sabha that the Centre's demonetisation decision has led to squeezing of terror funds, including in Jammu and Kashmir. Jaitley added that as a result of demonetisation, terrorists were forced to rob banks for money, and the number of stone throwers in Jammu and Kashmir has gone down in last few months.",
121,"West Bengal chief minister Mamata Banerjee on Tuesday said she will never support the division of the state and urged all political parties in the hills to restore peace and normal life in Darjeeling, where the indefinite shutdown entered its 48th day.?Whatever happens, everyone should remember that I am ready to give up my life but I will never support dividing (the state) into parts. Every district is our asset. People from every religion, caste will be here.?This is India. It is our duty to protect it, not to divide it. I love the hills like all other districts of West Bengal. But people must remember that the hills are a part of West Bengal and will remain so in the future,? she said in a rally here in North Dinajpur district this afternoon.?Whatever happens, everyone should remember that I am ready to give up my life but I will never support dividing (the state) into parts. Every district is our asset. People from every religion, caste will be here,? said Banerjee.The chief minister said that she would do everything for the development of Darjeeling but not anything which may lead to a riot or create disturbance among the people.Gorkha Janmukti Morcha (GJM) is spearheading the shutdown in Darjeeling to press the demand for a separate Gorkhaland.She requested political parties and leaders in the hills, to ?be calm and help in restoring normal life in Darjeeling?, to bring back peace and solve problems being faced by the locals.?I want the hills to get back to normal life. I want the tea gardens to start their operations. Darjeeling tea is a global brand, do not spoil it,? Banerjee said.The chief minister said that a political movement should be for the welfare of the people but the ongoing one by the GJM is ?only for the sake of politics?.?Today tea garden workers are not getting food. Students are unable to go to their schools and colleges. Tourism is getting affected. Why are you (GJM) in such a movement? There is no fault of the common people. They have not done anything wrong.?People are troubled and you (GJM) are continuing with the movement only for the sake of politics. This is not right,? she said.Banerjee alleged that it was not the hill people who were creating trouble, but political leaders, who were bringing in goons from outside to create law and order problems there.GJM chief Bimal Gurung had yesterday asked the chief minister to ?come and see the sad situation? in the hills.She had last visited Darjeeling on June 8, when the GJM supporters had clashed with the police outside the Rajbhavan where the state cabinet meeting was held. Following this, an agitation started and subsequently call for an indefinite strike was given in support of their demand of separate Gorkhaland.","Reacting to the protests demanding separate state Gorkhaland, West Bengal CM Mamata Banerjee on Tuesday said, ""I'm ready to give up my life but I'll never support dividing (the state) into parts."" ""This is India. It's our duty to protect it, not to divide it...the hills are a part of Bengal and will remain so in the future,"" Mamata added.",
122,"Virat Kohli?s ascendancy since becoming the India Test captain in 2014 has been startling. His aggressive attitude coupled with brilliance in batting meant that the national team found a perfect successor to Mahendra Singh Dhoni, whose achievement as skipper is unmatched in Indian cricket.While still it is early days, but Kohli can match Dhoni?s achievements as skipper, believes India?s new head coach Ravi Shastri.(Read | Virat Kohli ?spoilt for choices? ahead of second India vs Sri Lanka Test match) The claim may be tall since Dhoni remains the only cricket captain in the world to win all ICC trophies ? the World Cup, the World T20 and the Champions Trophy. His time at the helm of India also saw them claiming the No. 1 position in Tests.But then Kohli has also got a great start to his career as captain. Among all the captains who have led India for more than 20 Test matches, Kohli has the highest win percentage. In 27 Tests, he has 17 wins with 62.96 win percentage. Dhoni won 27 out of 60 Tests as captain, with the win percentage being 45. Sourav Ganguly is third in the list with a win percentage of 42.85, winning 21 out of 49 Tests as captain.(Read | How Hardik Pandya survived on Maggi before becoming Indian cricket team star) ?The way Virat is progressing, he may well catch up with Dhoni. I have been involved with cricket for 35 years as player, commentator and coach. Apart from Sachin Tendulkar, I have never seen anyone break records like Kohli. He has caught up with many greats, playing just half the number of matches. I wonder where will he stop,? Shastri told Anandabazar Patrika, a Bengali daily.Shastri, who returned to the Indian dressing room after a year-long gap as head coach, is currently touring Sri Lanka with the Indian team for a three-Test rubber followed by limited overs series.(Read | Sachin Tendulkar joins PM Narendra Modi in praising Indian women?s cricket team) The following seasons will see India travelling to South Africa, Australia and New Zealand. This was one area where Dhoni?s team failed to stamp their authority and if Kohli?s gang does it, there will be no doubt about who India?s greatest captain is.?Dhoni all-time greatest?Shastri, however, added that based on current record Dhoni is India?s all-time greatest captain.(Read | Khaled Mahmud, ex-Bangladesh skipper, suffers stroke; to be taken to Singapore) ?The guy has won two world titles - a World Cup and a World T20. Beside that, he has also finished runner-up in another World T20. He played in the semi-finals of two other World T20 and World Cups. People often talk about his limited-over record, but compare Dhoni?s Test with any captain and it will show who is the greatest ever ,? Shari said.?Virat is progressing in the same direction as well.?When Shastri was the team director of India from 2014 to 2016, he saw both Dhoni and Kohli as captains from close quarters. In fact, it was during Shastri?s time at the helm that Dhoni quit as Test captain to make way for Kohli in 2014.Shastri added that Kohli has potential to be the greatest captain of the current generation but may face stiff competition from an Australian.?Steve Smith. As a captain his batting record is exceptional,? Shastri said.As a captain, Smith?s batting average is 73.27, second only to Don Bradman?s 101.51. Kohli is third in the list with an average of 61.09.In days to come, the two might well decide whose team will rule cricket in the next decade.","India head coach Ravi Shastri has said Virat Kohli will match former skipper MS Dhoni's record as captain. ""The way Virat is progressing, he may well catch up with Dhoni. I have been involved with cricket for 35 years as player, commentator and coach. Apart from Sachin Tendulkar, I have never seen anyone break records like Kohli,"" said Shastri.",
123,"China's number one boxer and WBO Oriental Super Middleweight Champion Zulpikar Maimaitali has hit back at Vijender Singh ahead of Asia's biggest showdown 'Battleground Asia', saying he will show the Indian knockout king what ""Chinese are capable of"".Ahead of the bout, Vijender had trolled his Chinese opponent and said that he would try to finish the bout as soon as possible as ""Chinese products don't last long"".Replying to Vijender's comments Maimaitiali said, ""I will show Vijender what Chinese are capable of. We have shown India time and again what China is capable of, it is time that Vijender too learns his lesson. I am coming to your home Vijender on 5th August and will take back your belt along with mine. I am going to knock you out in the early rounds"".""I am fully prepared for this fight, this will be a big fight of my career as I am eying second belt of my pro career. I don't think he ever stood a chance in front of me, he thinks I am a kid. I will show what this kid is made of,"" he added.This fight between two top boxers of Asian subcontinent will decide the 'King of Asia'.China's undefeated star boxer has eight bouts under his name, same as Vijender. Zulpikar has five knock out wins and has fought 24 rounds. His last bout was with African boxer Thomas Mashali where he won his current title -- WBO Oriental Super Middleweight Champion last year. Zulpikar turned towards professional boxing in April 2015.Vijender, who remained unbeaten since his debut in professional boxing, has fought eight bouts, last one being against former world number one boxer Francis Cheka from Tanzania, where he defended his title.","Responding to Vijender Singh's comment that ""Chinese products don't last too long"", Chinese boxer and Singh's next opponent Zulpikar Maimaitiali said, ""I will show Vijender what Chinese are capable of. We have shown India time and again...it's time that Vijender too learns his lesson."" Singh and Maimaitiali will take on each other in a double title bout on August 5.",
124,"A minister of the Devendra Fadnavis-led BJP government has been accused of rape. Senior NCP leader Ajit Pawar demanded a probe into the allegations made by a woman from Sangli district against the minister, who is not from BJP, but from one of the party?s smaller allies. In the state assembly, Pawar claimed he had a CD to prove the allegations.  The Opposition staged a walkout from the lower house, even after Speaker Haribhau Bagade ordered a probe into the allegations.Meanwhile, Fadnavis clarified that the victim withdrew her complaint the very next day saying it was filed owing to a misunderstanding. ?In her video statement before the police, she said the complaint filed a day before was out of misunderstanding. She had a dispute with a person named Prashant Jadhav and was under the impression that the minister was helping Jadhav against her. After realising that it was not so, she withdrew the complaint and has now nothing against the minister,? Fadnavis said.Hours after CM?s clarification, a video clip surfaced on social media showing a woman alleging harassment by the minister.In the unverified video, a woman with her face half covered says, ?I have been harassed and was forced to withdraw the complaint. Whatever I gave in writing was due to tremendous pressure. I would have been murdered if I had not withdrawn the complaint.? She further claimed of getting threats.However, there is no clarity on when the video was shot, and if it is the woman Pawar mentioned. Refuting the allegations the accused minister said, ?She is a journalist and I have met her only at press meets. Probe is going on and I am sure truth will prevail,? he said.Radhakrishna Vikhe Patil, leader of opposition in the assembly demanded minister?s resignation. ?Considering the gravity of the case, the minister should resign from his post immediately,? Patil told HT..","The Opposition staged a walkout from the Maharashtra assembly, demanding a probe into the allegations of rape by a woman against a minister of the Devendra Fadnavis-led government. Opposition leader Ajit Pawar claimed he had a CD to prove the allegations. Fadnavis, however, clarified that the victim withdrew her complaint the next day saying it was filed owing to misunderstanding. ",
125,"A 40-year-old woman was stabbed outside the Thyagraj Stadium in south Delhi on Monday evening even as her four-year-old son watched.Santoshi, a resident of the nearby Prem Nagar Colony, was returning home with her son from a weekly market near the stadium when the incident took place. Eyewitnesses told police that a man, seemingly in his mid thirties jumped from behind and stabbed the woman multiple times. The spot outside Thyagraj Stadium where a woman was stabbed to death. 
							(Picture: Sourced)
						Santoshi cried for help, alerting three security guards at the stadium. Her attacker, however, fled the spot leaving behind the kitchen knife used in the murder. A police team reached the spot and rushed her to the Trauma Centre where Santoshi was declared dead. Doctors told police that she had been stabbed at least five times. Santoshi, a mother of five was separated from her husband. Her husband, police said lives in Rajasthan. Investigating officials said a CCTV camera at the stadium has recorded the stabbing. The incident took place at around 8pm. Police sources said they have identified a suspect. They are exploring the angle of money dispute and spurned love.Additional deputy commissioner of police south Chinmoy Biswal said police have registered a case and are working to arrest the murderer. ","A 40-year-old woman was stabbed outside the Thyagaraj Stadium in south Delhi on Monday evening in front of her four-year-old son while she was returning home from a weekly market. The attacker, who is reportedly in his mid thirties, managed to flee the spot leaving behind the kitchen knife used in the murder. ",
